pdp_url,prices,product_id,product_description,color,product_type
https://www.pullandbear.com/ae/stwd-boxy-tshirt-l07152529,129.00,699518151,"Boxy-fit T-shirt available in various colours with contrasting embroidered STWD logo, short sleeves and a round neck. Made of cotton.","['Black', 'Anthracite grey', 'Blue', 'White', 'Medium blue', 'Green']",Clothing
https://www.pullandbear.com/ae/baggy-cargo-trousers-l07674505,219.00,695878848,"Baggy cargo trousers with belt loops, zipper fly and top button fastening and pockets.","['Beige/Green', 'Brown', 'Black', 'Green']",Clothing
https://www.pullandbear.com/ae/stwd-91-hockey-tshirt-l07152511,149.00,697013457,"Boxy-fit short sleeve hockey T-shirt with a V-neck, a number 91 graphic on the front and made of cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/acid-wash-faded-knit-sweater-l07550510,219.00,716676318,Knit sweater with a round neck and ribbed trim.,"['Black', 'Bluish', 'Brown', 'Striped', 'Black marl']",Clothing
https://www.pullandbear.com/ae/striped-long-sleeve-shirt-l07472567,219.00,716676319,"Long sleeve shirt with a striped design, button-up front and made of 100% cotton.","['Sky blue', 'Off white']",Clothing
https://www.pullandbear.com/ae/quarterzip-sweater-l07550511,219.00,716676320,Knit sweater with a quarter-zip and long sleeves.,"['Grey marl', 'Black', 'Off white', 'Brown']",Clothing
https://www.pullandbear.com/ae/short-raglan-sleeve-tshirt-l07151575,99.00,699323629,Short raglan sleeve T-shirt with a round neck. Made of cotton.,"['Khaki', 'Navy']",Clothing
https://www.pullandbear.com/ae/acid-wash-cardigan-l07550534,269.00,699323632,"Long sleeve cardigan with a V-neck, ribbed cuffs and hem, button fastening, and made of 100% cotton.",['Khaki marl'],Clothing
https://www.pullandbear.com/ae/cropped-zipup-hoodie-l07560528,199.00,699323634,"Cropped hoodie with a hood and zipper fastening, featuring a pouch pocket and made from a cotton blend.",['Sand marl'],Clothing
https://www.pullandbear.com/ae/brown-faux-suede-belt-l07950510,75.00,695434567,Brown faux suede belt with a square metallic buckle.,['Brown'],Clothing
https://www.pullandbear.com/ae/acid-wash-faded-sweater-l07550514,189.00,692151638,Long sleeve sweater with a round neck. Made of cotton.,"['Brown', 'Faded black']",Clothing
https://www.pullandbear.com/ae/stwd-80-hockey-tshirt-l07151579,149.00,695434620,"Boxy-fit hockey T-shirt with short sleeves, a V-neck and an 80 graphic on the front. Made of cotton.",['Black'],Clothing
https://www.pullandbear.com/ae/playstation-x-stwd-lightweight-zipup-jacket-l07701512,299.00,715296126,"Lightweight PlayStation licensed jacket, with a high neck, half-zip fastening, and elastic cuffs and hem.Total look",['Black'],Clothing
https://www.pullandbear.com/ae/stwd-text-soccer-tshirt-l07151578,189.00,695434624,"Soccer T-shirt with contrast graphic and text, polo collar and short sleeves.",['Black'],Clothing
https://www.pullandbear.com/ae/stwd-hockey-tshirt-l07151577,169.00,695434626,"White hockey T-shirt with a contrast graphic and V-neck, short sleeves and made of slightly stretchy cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/playstation-x-stwd-joggers-l07674517,269.00,715296132,"PlayStation licensed joggers with a contrast graphic, panelled design, pockets and an elasticated waistband.Total look",['Off white'],Clothing
https://www.pullandbear.com/ae/striped-photo-print-tshirt-l07151536,129.00,715754925,"Short sleeve T-shirt with a horizontal striped design, a contrasting photo print on the side, and text on the front. Made from cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/short-sleeve-sweatshirt-with-giraffe-graphic-l07151539,169.00,715754926,Short sleeve sweatshirt with a round neck and a giraffe graphic on the front.,['Grey'],Clothing
https://www.pullandbear.com/ae/knit-sweater-with-embroidered-slogan-l07550516,219.00,715754927,"Long sleeve knit sweater with a contrast embroidered slogan on the front, a V-neck and ribbed trims. Made from 100% cotton.","['Black', 'Off white']",Clothing
https://www.pullandbear.com/ae/double-sleeve-shirt-l07472555,219.00,715754929,"Shirt featuring double sleeves, a Kent collar, button fastening and in poplin fabric.",['Off white'],Clothing
https://www.pullandbear.com/ae/long-sleeve-polo-shirt-l07200510,169.00,715754930,Long sleeve polo shirt with a Kent collar. Made of cotton.,"['Off white', 'Black']",Clothing
https://www.pullandbear.com/ae/short-sleeve-sweatshirt-with-graphic-l07151535,149.00,715754931,"Black short sleeve sweatshirt with graphic and text on the front and back, with a round neck and made of cotton.",['Black'],Clothing
https://www.pullandbear.com/ae/polo-collar-sweatshirt-l07200509,169.00,715754932,"Long sleeve sweatshirt with a polo collar, button fastening and ribbed trims.",['Grey'],Clothing
